Game Date,Away Team,Home Team,Predicted_NRFI_Probability,Away_NRFI_Batting_Rate,Home_NRFI_Pitching_Rate,NRFI_Hit
2025-04-11,Atlanta Braves,Tampa Bay Rays,48.47,71.43,67.86,0
2025-04-12,Milwaukee Brewers,Arizona Diamondbacks,53.21,82.76,64.29,1
2025-04-12,New York Mets,Athletics,48.22,75.0,64.29,1
2025-04-12,Toronto Blue Jays,Baltimore Orioles,47.59,76.67,62.07,0
2025-04-12,Boston Red Sox,Chicago White Sox,42.19,65.62,64.29,1
2025-04-12,Pittsburgh Pirates,Cincinnati Reds,59.6,75.86,78.57,1
2025-04-12,Kansas City Royals,Cleveland Guardians,45.0,70.0,64.29,1
2025-04-12,Los Angeles Angels,Houston Astros,52.12,70.37,74.07,0
2025-04-12,Chicago Cubs,Los Angeles Dodgers,48.43,74.07,65.38,1
2025-04-12,Washington Nationals,Miami Marlins,51.73,68.97,75.0,1
2025-04-12,Detroit Tigers,Minnesota Twins,41.87,68.97,60.71,0
2025-04-12,San Francisco Giants,New York Yankees,62.78,75.86,82.76,0
2025-04-12,Colorado Rockies,San Diego Padres,62.07,82.76,75.0,0
2025-04-12,Texas Rangers,Seattle Mariners,48.47,71.43,67.86,0
2025-04-12,Philadelphia Phillies,St. Louis Cardinals,49.14,67.86,72.41,0
2025-04-12,Atlanta Braves,Tampa Bay Rays,48.47,71.43,67.86,0
2025-04-13,Milwaukee Brewers,Arizona Diamondbacks,53.21,82.76,64.29,0
2025-04-13,New York Mets,Athletics,48.22,75.0,64.29,1
2025-04-13,Toronto Blue Jays,Baltimore Orioles,47.59,76.67,62.07,0
2025-04-13,Boston Red Sox,Chicago White Sox,42.19,65.62,64.29,1
2025-04-13,Pittsburgh Pirates,Cincinnati Reds,59.6,75.86,78.57,1
2025-04-13,Kansas City Royals,Cleveland Guardians,45.0,70.0,64.29,1
2025-04-13,Los Angeles Angels,Houston Astros,52.12,70.37,74.07,0
2025-04-13,Chicago Cubs,Los Angeles Dodgers,48.43,74.07,65.38,1
2025-04-13,Washington Nationals,Miami Marlins,51.73,68.97,75.0,1
2025-04-13,Detroit Tigers,Minnesota Twins,41.87,68.97,60.71,0
2025-04-13,San Francisco Giants,New York Yankees,62.78,75.86,82.76,0
2025-04-13,Colorado Rockies,San Diego Padres,62.07,82.76,75.0,0
2025-04-13,Texas Rangers,Seattle Mariners,48.47,71.43,67.86,0
2025-04-13,Philadelphia Phillies,St. Louis Cardinals,49.14,67.86,72.41,1
2025-04-13,Atlanta Braves,Tampa Bay Rays,48.47,71.43,67.86,0
2025-04-14,Colorado Rockies,Los Angeles Dodgers,54.11,82.76,65.38,0
2025-04-14,Detroit Tigers,Milwaukee Brewers,49.94,68.97,72.41,0
2025-04-14,New York Mets,Minnesota Twins,45.53,75.0,60.71,1
2025-04-14,Kansas City Royals,New York Yankees,57.93,70.0,82.76,1
2025-04-14,San Francisco Giants,Philadelphia Phillies,59.6,75.86,78.57,0
2025-04-14,Washington Nationals,Pittsburgh Pirates,59.46,68.97,86.21,0
2025-04-14,Chicago Cubs,San Diego Padres,55.55,74.07,75.0,1
2025-04-14,Houston Astros,St. Louis Cardinals,61.69,85.19,72.41,1
2025-04-14,Boston Red Sox,Tampa Bay Rays,44.53,65.62,67.86,0
2025-04-14,Atlanta Braves,Toronto Blue Jays,47.62,71.43,66.67,0
2025-04-15,Cleveland Guardians,Baltimore Orioles,44.34,71.43,62.07,1
2025-04-15,Athletics,Chicago White Sox,48.22,75.0,64.29,0
2025-04-15,Seattle Mariners,Cincinnati Reds,50.51,64.29,78.57,0
2025-04-15,Colorado Rockies,Los Angeles Dodgers,54.11,82.76,65.38,1
2025-04-15,Arizona Diamondbacks,Miami Marlins,48.22,64.29,75.0,1
2025-04-15,Detroit Tigers,Milwaukee Brewers,49.94,68.97,72.41,1
2025-04-15,New York Mets,Minnesota Twins,45.53,75.0,60.71,0
2025-04-15,Kansas City Royals,New York Yankees,57.93,70.0,82.76,1
2025-04-15,San Francisco Giants,Philadelphia Phillies,59.6,75.86,78.57,1
2025-04-15,Washington Nationals,Pittsburgh Pirates,59.46,68.97,86.21,0
2025-04-15,Chicago Cubs,San Diego Padres,55.55,74.07,75.0,1
2025-04-15,Houston Astros,St. Louis Cardinals,61.69,85.19,72.41,1
2025-04-15,Boston Red Sox,Tampa Bay Rays,44.53,65.62,67.86,0
2025-04-15,Los Angeles Angels,Texas Rangers,55.29,70.37,78.57,1
2025-04-15,Atlanta Braves,Toronto Blue Jays,47.62,71.43,66.67,0
2025-04-16,Cleveland Guardians,Baltimore Orioles,44.34,71.43,62.07,1
2025-04-16,Athletics,Chicago White Sox,48.22,75.0,64.29,1
2025-04-16,Seattle Mariners,Cincinnati Reds,50.51,64.29,78.57,0
2025-04-16,Colorado Rockies,Los Angeles Dodgers,54.11,82.76,65.38,0
2025-04-16,Arizona Diamondbacks,Miami Marlins,48.22,64.29,75.0,1
2025-04-16,Detroit Tigers,Milwaukee Brewers,49.94,68.97,72.41,1
2025-04-16,New York Mets,Minnesota Twins,45.53,75.0,60.71,1
2025-04-16,Kansas City Royals,New York Yankees,57.93,70.0,82.76,0
2025-04-16,San Francisco Giants,Philadelphia Phillies,59.6,75.86,78.57,0
2025-04-16,Washington Nationals,Pittsburgh Pirates,59.46,68.97,86.21,1
2025-04-16,Chicago Cubs,San Diego Padres,55.55,74.07,75.0,1
2025-04-16,Houston Astros,St. Louis Cardinals,61.69,85.19,72.41,0
2025-04-16,Boston Red Sox,Tampa Bay Rays,44.53,65.62,67.86,1
2025-04-16,Los Angeles Angels,Texas Rangers,55.29,70.37,78.57,1
2025-04-16,Atlanta Braves,Toronto Blue Jays,47.62,71.43,66.67,1
2025-04-17,Cleveland Guardians,Baltimore Orioles,44.34,71.43,62.07,0
2025-04-17,Athletics,Chicago White Sox,48.22,75.0,64.29,0
2025-04-17,Seattle Mariners,Cincinnati Reds,50.51,64.29,78.57,0
2025-04-17,Kansas City Royals,Detroit Tigers,55.52,70.0,79.31,1
2025-04-17,Arizona Diamondbacks,Miami Marlins,48.22,64.29,75.0,0
2025-04-17,St. Louis Cardinals,New York Mets,73.9,82.76,89.29,1
2025-04-17,San Francisco Giants,Philadelphia Phillies,59.6,75.86,78.57,0
2025-04-17,Washington Nationals,Pittsburgh Pirates,59.46,68.97,86.21,0
2025-04-17,New York Yankees,Tampa Bay Rays,39.78,58.62,67.86,0
2025-04-17,Los Angeles Angels,Texas Rangers,55.29,70.37,78.57,0
2025-04-18,Minnesota Twins,Atlanta Braves,45.92,71.43,64.29,1
2025-04-18,Cincinnati Reds,Baltimore Orioles,44.34,71.43,62.07,1
2025-04-18,Chicago White Sox,Boston Red Sox,40.18,64.29,62.5,0
2025-04-18,Arizona Diamondbacks,Chicago Cubs,50.0,64.29,77.78,1
2025-04-18,Washington Nationals,Colorado Rockies,45.19,68.97,65.52,1
2025-04-18,Kansas City Royals,Detroit Tigers,55.52,70.0,79.31,0
2025-04-18,San Diego Padres,Houston Astros,47.62,64.29,74.07,1
2025-04-18,San Francisco Giants,Los Angeles Angels,44.95,75.86,59.26,1
2025-04-18,Athletics,Milwaukee Brewers,54.31,75.0,72.41,1
2025-04-18,St. Louis Cardinals,New York Mets,73.9,82.76,89.29,1
2025-04-18,Miami Marlins,Philadelphia Phillies,58.93,75.0,78.57,0
2025-04-18,Cleveland Guardians,Pittsburgh Pirates,61.58,71.43,86.21,0
2025-04-18,New York Yankees,Tampa Bay Rays,39.78,58.62,67.86,1
2025-04-18,Los Angeles Dodgers,Texas Rangers,54.39,69.23,78.57,0
2025-04-18,Seattle Mariners,Toronto Blue Jays,42.86,64.29,66.67,0
2025-04-19,Minnesota Twins,Atlanta Braves,45.92,71.43,64.29,0
2025-04-19,Cincinnati Reds,Baltimore Orioles,44.34,71.43,62.07,0
2025-04-19,Chicago White Sox,Boston Red Sox,40.18,64.29,62.5,1
2025-04-19,Arizona Diamondbacks,Chicago Cubs,50.0,64.29,77.78,0
2025-04-19,Washington Nationals,Colorado Rockies,45.19,68.97,65.52,1
2025-04-19,Kansas City Royals,Detroit Tigers,55.52,70.0,79.31,1
2025-04-19,San Diego Padres,Houston Astros,47.62,64.29,74.07,1
2025-04-19,San Francisco Giants,Los Angeles Angels,44.95,75.86,59.26,0
2025-04-19,Athletics,Milwaukee Brewers,54.31,75.0,72.41,1
2025-04-19,St. Louis Cardinals,New York Mets,73.9,82.76,89.29,1
2025-04-19,Miami Marlins,Philadelphia Phillies,58.93,75.0,78.57,1
2025-04-19,Cleveland Guardians,Pittsburgh Pirates,61.58,71.43,86.21,1
2025-04-19,New York Yankees,Tampa Bay Rays,39.78,58.62,67.86,0
2025-04-19,Los Angeles Dodgers,Texas Rangers,54.39,69.23,78.57,1
2025-04-19,Seattle Mariners,Toronto Blue Jays,42.86,64.29,66.67,0
2025-04-20,Minnesota Twins,Atlanta Braves,45.92,71.43,64.29,0
2025-04-20,Cincinnati Reds,Baltimore Orioles,44.34,71.43,62.07,1
2025-04-20,Chicago White Sox,Boston Red Sox,40.18,64.29,62.5,0
2025-04-20,Arizona Diamondbacks,Chicago Cubs,50.0,64.29,77.78,0
2025-04-20,Washington Nationals,Colorado Rockies,45.19,68.97,65.52,1
2025-04-20,Washington Nationals,Colorado Rockies,45.19,68.97,65.52,0
2025-04-20,Kansas City Royals,Detroit Tigers,55.52,70.0,79.31,1
2025-04-20,San Diego Padres,Houston Astros,47.62,64.29,74.07,0
2025-04-20,San Francisco Giants,Los Angeles Angels,44.95,75.86,59.26,1
2025-04-20,Athletics,Milwaukee Brewers,54.31,75.0,72.41,0
2025-04-20,St. Louis Cardinals,New York Mets,73.9,82.76,89.29,0
2025-04-20,Miami Marlins,Philadelphia Phillies,58.93,75.0,78.57,0
2025-04-20,Cleveland Guardians,Pittsburgh Pirates,61.58,71.43,86.21,1
2025-04-20,New York Yankees,Tampa Bay Rays,39.78,58.62,67.86,0
2025-04-20,Los Angeles Dodgers,Texas Rangers,54.39,69.23,78.57,1
2025-04-20,Seattle Mariners,Toronto Blue Jays,42.86,64.29,66.67,0
2025-04-21,St. Louis Cardinals,Atlanta Braves,53.21,82.76,64.29,1
2025-04-21,Chicago White Sox,Boston Red Sox,40.18,64.29,62.5,0
2025-04-21,New York Yankees,Cleveland Guardians,37.69,58.62,64.29,1
2025-04-21,San Diego Padres,Detroit Tigers,50.99,64.29,79.31,0
2025-04-21,Toronto Blue Jays,Houston Astros,56.79,76.67,74.07,1
2025-04-21,Cincinnati Reds,Miami Marlins,53.57,71.43,75.0,1
2025-04-21,Philadelphia Phillies,New York Mets,60.59,67.86,89.29,0
2025-04-21,Milwaukee Brewers,San Francisco Giants,54.22,82.76,65.52,1
2025-04-22,Tampa Bay Rays,Arizona Diamondbacks,50.51,78.57,64.29,1
2025-04-22,Texas Rangers,Athletics,45.92,71.43,64.29,0
2025-04-22,St. Louis Cardinals,Atlanta Braves,53.21,82.76,64.29,1
2025-04-22,Seattle Mariners,Boston Red Sox,40.18,64.29,62.5,0
2025-04-22,Los Angeles Dodgers,Chicago Cubs,53.85,69.23,77.78,0
2025-04-22,New York Yankees,Cleveland Guardians,37.69,58.62,64.29,0
2025-04-22,San Diego Padres,Detroit Tigers,50.99,64.29,79.31,1
2025-04-22,Toronto Blue Jays,Houston Astros,56.79,76.67,74.07,0
2025-04-22,Colorado Rockies,Kansas City Royals,77.24,82.76,93.33,1
2025-04-22,Pittsburgh Pirates,Los Angeles Angels,44.95,75.86,59.26,1
2025-04-22,Cincinnati Reds,Miami Marlins,53.57,71.43,75.0,0
2025-04-22,Chicago White Sox,Minnesota Twins,39.03,64.29,60.71,1
2025-04-22,Philadelphia Phillies,New York Mets,60.59,67.86,89.29,0
2025-04-22,Milwaukee Brewers,San Francisco Giants,54.22,82.76,65.52,1
2025-04-22,Baltimore Orioles,Washington Nationals,51.96,65.52,79.31,0
2025-04-23,Tampa Bay Rays,Arizona Diamondbacks,50.51,78.57,64.29,0
2025-04-23,Texas Rangers,Athletics,45.92,71.43,64.29,0
2025-04-23,St. Louis Cardinals,Atlanta Braves,53.21,82.76,64.29,0
2025-04-23,Seattle Mariners,Boston Red Sox,40.18,64.29,62.5,0
2025-04-23,Los Angeles Dodgers,Chicago Cubs,53.85,69.23,77.78,1
2025-04-23,New York Yankees,Cleveland Guardians,37.69,58.62,64.29,0
2025-04-23,San Diego Padres,Detroit Tigers,50.99,64.29,79.31,0
2025-04-23,Toronto Blue Jays,Houston Astros,56.79,76.67,74.07,1
2025-04-23,Colorado Rockies,Kansas City Royals,77.24,82.76,93.33,1
2025-04-23,Pittsburgh Pirates,Los Angeles Angels,44.95,75.86,59.26,1
2025-04-23,Cincinnati Reds,Miami Marlins,53.57,71.43,75.0,0
2025-04-23,Chicago White Sox,Minnesota Twins,39.03,64.29,60.71,1
2025-04-23,Philadelphia Phillies,New York Mets,60.59,67.86,89.29,1
2025-04-23,Milwaukee Brewers,San Francisco Giants,54.22,82.76,65.52,1
2025-04-23,Baltimore Orioles,Washington Nationals,51.96,65.52,79.31,0
2025-04-24,Tampa Bay Rays,Arizona Diamondbacks,50.51,78.57,64.29,0
2025-04-24,Texas Rangers,Athletics,45.92,71.43,64.29,1
2025-04-24,Seattle Mariners,Boston Red Sox,40.18,64.29,62.5,0
2025-04-24,Colorado Rockies,Kansas City Royals,77.24,82.76,93.33,0
2025-04-24,Colorado Rockies,Kansas City Royals,77.24,82.76,93.33,1
2025-04-24,Pittsburgh Pirates,Los Angeles Angels,44.95,75.86,59.26,0
2025-04-24,Chicago White Sox,Minnesota Twins,39.03,64.29,60.71,1
2025-04-24,Milwaukee Brewers,San Francisco Giants,54.22,82.76,65.52,0
2025-04-24,Baltimore Orioles,Washington Nationals,51.96,65.52,79.31,1
2025-04-25,Atlanta Braves,Arizona Diamondbacks,45.92,71.43,64.29,1
2025-04-25,Chicago White Sox,Athletics,41.33,64.29,64.29,1
2025-04-25,Philadelphia Phillies,Chicago Cubs,52.78,67.86,77.78,1
2025-04-25,Boston Red Sox,Cleveland Guardians,42.19,65.62,64.29,1
2025-04-25,Cincinnati Reds,Colorado Rockies,46.8,71.43,65.52,0
2025-04-25,Baltimore Orioles,Detroit Tigers,51.96,65.52,79.31,1
2025-04-25,Houston Astros,Kansas City Royals,79.51,85.19,93.33,1
2025-04-25,Pittsburgh Pirates,Los Angeles Dodgers,49.6,75.86,65.38,0
2025-04-25,Los Angeles Angels,Minnesota Twins,42.72,70.37,60.71,0
2025-04-25,Toronto Blue Jays,New York Yankees,63.45,76.67,82.76,1
2025-04-25,Tampa Bay Rays,San Diego Padres,58.93,78.57,75.0,1
2025-04-25,Texas Rangers,San Francisco Giants,46.8,71.43,65.52,1
2025-04-25,Miami Marlins,Seattle Mariners,50.9,75.0,67.86,1
2025-04-25,Milwaukee Brewers,St. Louis Cardinals,59.93,82.76,72.41,1
2025-04-25,New York Mets,Washington Nationals,59.48,75.0,79.31,1
2025-04-26,Atlanta Braves,Arizona Diamondbacks,45.92,71.43,64.29,0
2025-04-26,Chicago White Sox,Athletics,41.33,64.29,64.29,0
2025-04-26,Philadelphia Phillies,Chicago Cubs,52.78,67.86,77.78,1
2025-04-26,Boston Red Sox,Cleveland Guardians,42.19,65.62,64.29,0
2025-04-26,Boston Red Sox,Cleveland Guardians,42.19,65.62,64.29,0
2025-04-26,Cincinnati Reds,Colorado Rockies,46.8,71.43,65.52,1
2025-04-26,Baltimore Orioles,Detroit Tigers,51.96,65.52,79.31,1
2025-04-26,Baltimore Orioles,Detroit Tigers,51.96,65.52,79.31,1
2025-04-26,Houston Astros,Kansas City Royals,79.51,85.19,93.33,0
2025-04-26,Pittsburgh Pirates,Los Angeles Dodgers,49.6,75.86,65.38,0
2025-04-26,Los Angeles Angels,Minnesota Twins,42.72,70.37,60.71,0
2025-04-26,Toronto Blue Jays,New York Yankees,63.45,76.67,82.76,1
2025-04-26,Tampa Bay Rays,San Diego Padres,58.93,78.57,75.0,1
2025-04-26,Texas Rangers,San Francisco Giants,46.8,71.43,65.52,0
2025-04-26,Miami Marlins,Seattle Mariners,50.9,75.0,67.86,0
2025-04-26,Milwaukee Brewers,St. Louis Cardinals,59.93,82.76,72.41,1
2025-04-26,New York Mets,Washington Nationals,59.48,75.0,79.31,1
